AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00466442  40.5261  -80.6275  205.7 WV NEW CUMBERLAND L/D                           TRADITIONAL  
USC00466591  37.9714  -81.1508  621.8 WV OAK HILL                                     TRADITIONAL  
USC00466600  37.6761  -81.6214  378.0 WV OCEANA 2 SE                                  TRADITIONAL  
USC00466867  39.1031  -79.6658  556.6 WV PARSONS 1 NE                       HCN       TRADITIONAL  
USC00466900  37.3453  -81.9081  615.7 WV PAYNESVILLE 1 N                              TRADITIONAL  
USC00466912  38.4197  -82.2986  174.7 WV PEA RIDGE PSD                                PSEUDONORMALS
USC00466952  38.9989  -79.1361  295.0 WV PETERSBURG                                   PSEUDONORMALS
USC00466982  39.1461  -80.0411  396.2 WV PHILIPPI                                     TRADITIONAL  
USC00466989  38.6789  -80.1958  877.8 WV PICKENS 2 N                        HCN       PSEUDONORMALS
USC00467018  40.1478  -80.7014  195.1 WV PIKE ISLAND L&D                              TRADITIONAL  
USC00467029  37.5742  -81.5356  390.1 WV PINEVILLE                          HCN       TRADITIONAL  
USC00467207  37.3842  -81.0822  722.4 WV PRINCETON                                    TRADITIONAL  
USC00467287  38.9189  -81.9114  177.1 WV RACINE L&D                                   TRADITIONAL  
USC00467372  37.5972  -81.8203  426.7 WV R.D. BAILEY LAKE                             PSEUDONORMALS
USC00467455  37.9914  -80.3644  634.0 WV RENICK 3                                     TRADITIONAL  
USC00467513  38.2061  -80.5206  941.8 WV RICHWOOD 1SSE                                TRADITIONAL  
USC00467552  38.8172  -81.7119  179.8 WV RIPLEY                                       TRADITIONAL  
USC00467649  38.8561  -80.3075  533.1 WV ROCK CAVE 2 NE                               TRADITIONAL  
USC00467730  39.3389  -78.7728  219.5 WV ROMNEY 1 SW                                  TRADITIONAL  
USC00467743  38.7778  -80.9636  228.6 WV ROSEDALE 3 NNW                               TRADITIONAL  
USC00467785  39.3419  -79.6700  433.7 WV ROWLESBURG 1                                 TRADITIONAL  
USC00467918  38.9817  -81.5658  195.1 WV SANDYVILLE 9 NE                              TRADITIONAL  
USC00468051  38.3333  -79.9250  746.8 WV SENECA SF 1N                                 TRADITIONAL  
USC00468308  38.3989  -79.9950 1478.3 WV SNOWSHOE                                     TRADITIONAL  
USC00468351  38.7506  -81.9808  175.6 WV SOUTHSIDE 3 NNW                              PSEUDONORMALS
USC00468384  38.8008  -81.3583  287.4 WV SPENCER                            HCN       TRADITIONAL  
USC00468522  39.0044  -80.4744  326.1 WV STONEWALL JACKSON DAM                        PSEUDONORMALS
USC00468614  38.2200  -80.8939  536.4 WV SUMMERSVILLE LAKE                            TRADITIONAL  
USC00468662  38.6611  -80.6969  254.5 WV SUTTON LAKE                                  PSEUDONORMALS
USC00468777  39.4467  -79.5469  801.6 WV TERRA ALTA #1                                TRADITIONAL  
USC00468807  39.1500  -79.5000  917.4 WV THOMAS                                       TRADITIONAL  
USC00468986  39.3136  -80.0297  365.8 WV TYGART DAM                                   PSEUDONORMALS
USC00469011  37.5436  -80.5336  643.1 WV UNION 3 SSE                                  TRADITIONAL  
USC00469086  38.5453  -80.0369  739.1 WV VALLEY HEAD                                  TRADITIONAL  
USC00469281  39.1139  -78.5811  292.6 WV WARDENSVILLE RM FARM                         TRADITIONAL  
USC00469333  38.4739  -80.4086  461.5 WV WEBSTER SPRINGS                              PSEUDONORMALS
USC00469336  38.5358  -80.4169  563.9 WV WEBSTER SPRINGS 8 N                          TRADITIONAL  
USC00469458  39.2911  -80.7694  240.8 WV WEST UNION 2                                 TRADITIONAL  
USC00469482  40.0567  -80.7283  196.6 WV WHEELING                                     TRADITIONAL  
USC00469522  37.7889  -80.3083  585.2 WV WHITE SULPHUR SPRINGS                        TRADITIONAL  
USC00469527  37.9875  -81.5428  250.9 WV WHITESVILLE                                  PSEUDONORMALS
USC00469610  37.6731  -82.2761  231.6 WV WILLIAMSON                         HCN       TRADITIONAL  
USC00469683  38.5278  -81.9153  186.2 WV WINFIELD LOCKS                     HCN       TRADITIONAL  
USC00470045  42.6475  -89.0644  226.2 WI AFTON                                        TRADITIONAL  
USC00470080  43.4231  -88.3522  291.4 WI ALLENTON                                     PSEUDONORMALS
USC00470124  44.3272  -91.9194  204.2 WI ALMA DAM 4                                   TRADITIONAL  
USC00470175  45.3011  -92.3631  326.1 WI AMERY                                        TRADITIONAL  
USC00470239  45.1603  -89.1128  463.0 WI ANTIGO                                       TRADITIONAL  
USC00470265  44.2769  -88.4378  241.4 WI APPLETON                                     TRADITIONAL  
USC00470273  43.0411  -89.4286  263.7 WI ARBORETUM UNIV WIS                           TRADITIONAL  
USC00470287  42.7006  -89.8672  244.8 WI ARGYLE                                       PSEUDONORMALS
USC00470308  43.3008  -89.3269  329.2 WI ARLINGTON UNIV FARM                          TRADITIONAL  
USC00470347  46.5522  -90.9161  251.8 WI ASHLAND 3S                                   PSEUDONORMALS
USC00470349  46.5831  -90.9678  198.1 WI ASHLAND EXP FARM                   HCN       TRADITIONAL  
USC00470382  44.6825  -91.1358  292.6 WI AUGUSTA RS                                   PSEUDONORMALS
USC00470456  44.3078  -90.1314  297.2 WI BABCOCK 1 WNW                                PSEUDONORMALS
USC00470486  44.9633  -92.3906  335.3 WI BALDWIN                                      TRADITIONAL  
USC00470516  43.4583  -89.7269  250.9 WI BARABOO                                      TRADITIONAL  
USC00470603  46.8833  -90.8167  249.9 WI BAYFIELD 6 N                                 TRADITIONAL  
USC00470645  43.4447  -88.8478  256.0 WI BEAVER DAM                                   TRADITIONAL  
USC00470696  42.5039  -89.0311  237.7 WI BELOIT                                       TRADITIONAL  
USC00470742  43.9900  -88.9411  233.5 WI BERLIN WWTP                                  PSEUDONORMALS
USC00470773  45.5556  -90.9592  371.9 WI BIG FALLS HYDRO                              TRADITIONAL  
USC00470855  44.2903  -90.8539  246.9 WI BLACK RIVER FALLS SWG                        TRADITIONAL  
USC00470882  44.2906  -91.2300  260.6 WI BLAIR                                        TRADITIONAL  
USC00470892  42.8122  -89.8622  253.9 WI BLANCHARDVILLE #2                            TRADITIONAL  
USC00470904  45.0956  -91.4886  298.7 WI BLOOMER                                      TRADITIONAL  
USC00470929  42.9511  -89.7903  320.0 WI BLUE MOUNDS 6 SSE                            TRADITIONAL  
USC00471039  45.8667  -88.2333  362.7 WI BREAKWATER                                   TRADITIONAL  
USC00471044  44.9878  -88.3769  262.1 WI BREED 6 SSE                                  TRADITIONAL  
USC00471062  43.0519  -88.1775  251.2 WI BROOKFIELD                                   PSEUDONORMALS
USC00471064  44.1614  -88.0803  246.9 WI BRILLION                                     TRADITIONAL  
USC00471078  42.6181  -89.3861  240.8 WI BRODHEAD                           HCN       TRADITIONAL  
USC00471131  46.5378  -91.5919  304.8 WI BRULE RS                                     TRADITIONAL  
USC00471155  46.0300  -89.3086  504.7 WI BUCKATABON                                   TRADITIONAL  
USC00471205  42.6508  -88.2544  228.9 WI BURLINGTON                                   TRADITIONAL  
USC00471249  46.0544  -90.5217  474.6 WI BUTTERNUT 3N                                 PSEUDONORMALS
USC00471280  43.7447  -90.7783  417.6 WI CASHTON                                      TRADITIONAL  
USC00471308  44.9356  -91.8886  245.1 WI CEDAR FALLS HYDRO PL                         TRADITIONAL  
USC00471416  43.0597  -89.4819  277.4 WI CHARMANY FARM                                TRADITIONAL  
USC00471568  44.0328  -88.1469  256.0 WI CHILTON                                      TRADITIONAL  
USC00471578  44.9278  -91.4081  259.1 WI CHIPPEWA FALLS                               PSEUDONORMALS
USC00471605  43.7186  -87.7089  185.0 WI CITY OF SHEBOYGAN WWTP                       PSEUDONORMALS
USC00471667  42.5492  -88.8753  292.6 WI CLINTON                                      TRADITIONAL  
USC00471676  44.6228  -88.7483  244.4 WI CLINTONVILLE                                 TRADITIONAL  
USC00471681  43.3125  -88.7197  274.9 WI CLYMAN                                       PSEUDONORMALS
USC00471847  45.8003  -91.4594  396.2 WI COUDERAY 7 W                                 TRADITIONAL  
USC00471897  45.3575  -88.1919  289.6 WI CRIVITZ HIGH FALLS                           TRADITIONAL  
USC00471913  42.6000  -90.4236  296.6 WI CUBA CITY                                    TRADITIONAL  
USC00471923  45.5333  -92.0222  378.0 WI CUMBERLAND                                   TRADITIONAL  
USC00471970  43.6561  -89.2028  262.1 WI DALTON                                       TRADITIONAL  
USC00471978  46.0086  -92.3736  289.6 WI DANBURY                                      TRADITIONAL  
USC00472001  42.6781  -90.1064  283.5 WI DARLINGTON                         HCN       TRADITIONAL  
USC00472055  44.3514  -87.8120  247.2 WI DENMARK WWTP                                 PSEUDONORMALS
USC00472165  44.1331  -91.5511  208.8 WI DODGE                                        TRADITIONAL  
USC00472173  42.9608  -90.1161  338.3 WI DODGEVILLE                                   TRADITIONAL  
USC00472240  46.3333  -91.2667  408.4 WI DRUMMOND                                     TRADITIONAL  
USC00472279  44.6197  -91.9794  231.6 WI DURAND                                       TRADITIONAL  
USC00472314  45.9169  -89.2564  494.7 WI EAGLE RIVER                                  TRADITIONAL  
USC00472413  42.7844  -88.3956  254.2 WI EAST TROY                                    PSEUDONORMALS
USC00472425  44.7878  -91.5164  268.2 WI EAU CLAIRE 3SW                               TRADITIONAL  
USC00472447  44.7331  -89.7581  344.7 WI EAU PLEINE RSVR                              TRADITIONAL  
USC00472556  44.7303  -92.4586  313.9 WI ELLSWORTH 1 E                                TRADITIONAL  
USC00472626  45.1708  -87.1536  223.4 WI EPHRAIM 1NE-WWTP                             PSEUDONORMALS
USC00472826  45.9336  -88.2583  396.2 WI FLORENCE                                     TRADITIONAL  
USC00472839  43.7953  -88.4533  231.6 WI FOND DU LAC                        HCN       TRADITIONAL  
USC00472851  44.6997  -87.3967  210.3 WI FORESTVILLE-4E                               PSEUDONORMALS
USC00472869  42.9050  -88.8589  243.8 WI FT ATKINSON                                  TRADITIONAL  
USC00472889  46.4856  -92.2875  284.1 WI FOXBORO                                      TRADITIONAL  
USC00472973  43.9750  -89.8308  288.0 WI FRIENDSHIP                                   PSEUDONORMALS
USC00472996  44.0758  -91.3411  233.2 WI GALESVILLE 1ESE                              TRADITIONAL  
USC00473022  43.3144  -90.8486  210.0 WI GAYS MILLS                                   TRADITIONAL  
USC00473038  43.5706  -91.2294  194.8 WI GENOA DAM 8                                  TRADITIONAL  
USC00473058  43.2389  -88.1222  259.1 WI GERMANTOWN                                   TRADITIONAL  
USC00473116  43.6561  -87.8144  221.6 WI GIBBSVILLE                                   PSEUDONORMALS
USC00473174  45.6214  -88.3603  441.4 WI GOODMAN SANITARY DIST                        PSEUDONORMALS
USC00473182  45.1489  -90.0667  423.7 WI GOODRICH 1 E                                 TRADITIONAL  
USC00473186  46.2450  -91.8047  317.0 WI GORDON                                       TRADITIONAL  
USC00473268  44.4983  -88.1119  207.9 WI GREEN BAY WFO                                PSEUDONORMALS
USC00473332  46.4858  -90.4372  355.1 WI SAXON 1WSW                                   TRADITIONAL  
USC00473391  42.9369  -88.0300  218.8 WI HALES CORNERS-WHITNALL                       PSEUDONORMALS
USC00473405  44.1186  -89.5358  332.8 WI HANCOCK EXP FARM                   HCN       TRADITIONAL  
USC00473453  43.3311  -88.4114  298.7 WI HARTFORD 2 W                                 TRADITIONAL  
USC00473471  44.4169  -90.7314  271.9 WI HATFIELD                                     TRADITIONAL  
USC00473511  46.0003  -91.5075  365.8 WI HAYWARD RS                                   TRADITIONAL  
USC00473636  45.6736  -88.9039  509.9 WI ARGONNE 1.5-NW                               PSEUDONORMALS
USC00473654  43.6542  -90.3339  286.5 WI HILLSBORO                                    TRADITIONAL  
USC00473661  43.6408  -87.9050  237.1 WI HINGHAM                                      PSEUDONORMALS
USC00473698  45.2236  -91.1269  322.2 WI HOLCOMBE                                     TRADITIONAL  
USC00473702  43.2422  -88.2889  294.1 WI HOLY HILL 2 E                                PSEUDONORMALS
USC00473756  43.4406  -88.6325  268.2 WI HORICON                                      TRADITIONAL  
USC00473800  46.4619  -90.1933  295.7 WI HURLEY                                       TRADITIONAL  
USC00473820  43.3400  -88.6006  263.3 WI HUSTISFORD WWTP                              PSEUDONORMALS
USC00473930  43.3194  -88.1681  275.2 WI JACKSON                                      PSEUDONORMALS
USC00474027  45.0831  -91.3311  323.4 WI JIM FALLS 3NW                                PSEUDONORMALS
USC00474080  45.3497  -90.7483  385.6 WI JUMP RIVER 3E                                TRADITIONAL  
USC00474108  42.9944  -88.8042  239.9 WI JEFFERSON WWTP                               PSEUDONORMALS
USC00474174  42.5608  -87.8156  182.9 WI KENOSHA                                      TRADITIONAL  
USC00474195  44.4628  -87.5050  177.1 WI KEWAUNEE                                     TRADITIONAL  
USC00474366  43.8669  -91.2725  201.2 WI LA CROSSE 4NNW                               TRADITIONAL  
USC00474373  43.8225  -91.1914  398.4 WI LA CROSSE WFO                                PSEUDONORMALS
USC00474379  43.8122  -91.2578  192.0 WI LA CROSSE RIVER                              PSEUDONORMALS
USC00474383  46.1211  -89.0758  536.4 WI LAC VIEUX DESERT                             TRADITIONAL  
USC00474391  45.4653  -91.1236  353.0 WI LADYSMITH 3W                                 PSEUDONORMALS
USC00474404  43.5753  -90.6417  246.9 WI LA FARGE                                     TRADITIONAL  
USC00474422  43.5825  -90.1181  270.7 WI LA VALLE                                     PSEUDONORMALS
USC00474457  42.5936  -88.4347  257.9 WI LAKE GENEVA                                  TRADITIONAL  
USC00474482  43.0803  -88.8967  249.0 WI LAKE MILLS                                   TRADITIONAL  
USC00474523  45.3333  -88.4981  364.5 WI LAKEWOOD 3 NE                                TRADITIONAL  
USC00474546  42.8278  -90.7889  317.0 WI LANCASTER 4 WSW                    HCN       TRADITIONAL  
USC00474582  45.5119  -88.7594  516.6 WI LAONA 6 SW                                   TRADITIONAL  
USC00474790  43.3217  -89.5311  251.2 WI LODI                                         PSEUDONORMALS
USC00474829  45.8883  -89.1389  496.8 WI LONG LAKE DAM                                TRADITIONAL  
USC00474894  45.5733  -92.4850  371.9 WI LUCK                                         TRADITIONAL  
USC00474937  43.2117  -91.0986  192.9 WI LYNXVILLE DAM 9                              TRADITIONAL  
USC00474953  46.7781  -90.7653  201.2 WI MADELINE ISLAND                              TRADITIONAL  
USC00475017  44.0869  -87.6522  178.0 WI MANITOWOC                          HCN       TRADITIONAL  
USC00475091  45.0983  -87.6236  179.5 WI MARINETTE                                    TRADITIONAL  
USC00475096  43.7028  -88.9989  262.4 WI MARKESAN                                     PSEUDONORMALS
USC00475120  44.6319  -90.1314  377.0 WI MARSHFIELD EXP FARM                HCN       TRADITIONAL  
USC00475164  44.1747  -90.3483  298.1 WI MATHER 3 NW                                  TRADITIONAL  
USC00475178  43.7900  -90.0597  263.7 WI MAUSTON 1 SE                                 TRADITIONAL  
USC00475189  43.1708  -89.8192  232.3 WI MAZOMANIE                                    PSEUDONORMALS
USC00475255  45.1308  -90.3439  448.1 WI MEDFORD                            HCN       TRADITIONAL  
USC00475286  46.3689  -90.6417  396.2 WI MELLEN 4 NE                                  TRADITIONAL  
USC00475335  44.8742  -91.9364  237.7 WI MENOMONIE                                    TRADITIONAL  
USC00475364  45.1786  -89.6617  381.0 WI MERRILL                                      TRADITIONAL  
USC00475473  42.7797  -88.9442  267.0 WI MILTON WWTP                                  PSEUDONORMALS
USC00475474  43.0719  -88.0294  221.3 WI MILWAUKEE MT MARY CLG              HCN       TRADITIONAL  
USC00475516  45.8864  -89.7322  488.0 WI MINOCQUA                           HCN       TRADITIONAL  
USC00475525  46.0667  -91.8667  327.7 WI MINONG 5 WSW                                 TRADITIONAL  
USC00475563  44.5647  -91.6719  253.0 WI MONDOVI                                      TRADITIONAL  
USC00475573  42.5994  -89.6681  301.8 WI MONROE 1 W                                   TRADITIONAL  
USC00475581  43.7806  -89.3169  239.6 WI MONTELLO                                     TRADITIONAL  
USC00475674  42.9881  -89.7419  314.2 WI MT HOREB                                     PSEUDONORMALS
USC00475718  43.1772  -90.4272  208.8 WI MUSCODA                                      TRADITIONAL  
USC00475786  44.0261  -90.0814  281.0 WI NECEDAH                                      TRADITIONAL  
USC00475808  44.5297  -90.6383  310.9 WI NEILLSVILLE 3 SW                   HCN       TRADITIONAL  
USC00475932  44.3589  -88.7189  243.8 WI NEW LONDON                         HCN       TRADITIONAL  
USC00476122  45.6358  -89.2417  490.7 WI NORTH PELICAN                                TRADITIONAL  
USC00476200  43.1003  -88.5036  260.9 WI OCONOMOWOC                                   TRADITIONAL  
USC00476208  44.8919  -87.9550  201.2 WI OCONTO 4 W                         HCN       TRADITIONAL  
USC00476280  43.7194  -90.5300  292.6 WI ONTARIO 3E                                   TRADITIONAL  
USC00476330  44.0206  -88.5581  228.6 WI OSHKOSH                            HCN       TRADITIONAL  
USC00476357  44.9800  -90.5545  390.1 WI OWEN 2N                                      TRADITIONAL  
USC00476380  42.5806  -88.0903  241.7 WI PADDOCK LAKE                                 PSEUDONORMALS
USC00476398  45.9336  -90.4506  464.8 WI PARK FALLS DNR HQ                      72741 TRADITIONAL  
USC00476413  46.5372  -92.1186  335.3 WI PATTISON RANGER STAION                       PSEUDONORMALS
USC00476420  42.5319  -88.3325  256.0 WI PELL LAKE                                    PSEUDONORMALS
USC00476510  45.0281  -87.7355  182.9 WI PESHTIGO                                     TRADITIONAL  
USC00476518  46.0664  -89.0753  542.5 WI PHELPS                                       TRADITIONAL  
USC00476646  42.7489  -90.4656  301.8 WI PLATTEVILLE                                  TRADITIONAL  
USC00476678  43.7300  -87.9714  254.2 WI PLYMOUTH                                     TRADITIONAL  
USC00476718  43.5278  -89.4342  236.2 WI PORTAGE                            HCN       TRADITIONAL  
USC00476764  43.3944  -87.8636  181.1 WI PORT WASHINGTON                              TRADITIONAL  
USC00476827  43.0514  -91.1350  200.6 WI PRAIRIE DU CHIEN                   HCN       TRADITIONAL  
USC00476838  43.3100  -89.7283  237.7 WI PRAIRIE DU SAC 2 N                           TRADITIONAL  
USC00476859  44.5447  -90.3017  469.4 WI PRENTICE #2                                  TRADITIONAL  
USC00476874  44.6775  -88.2275  240.5 WI PULASKI WWTP                                 PSEUDONORMALS
USC00476922  42.7022  -87.7861  181.4 WI RACINE                             HCN       TRADITIONAL  
USC00476939  45.8342  -89.5472  487.7 WI RAINBOW RSVR TOMAHAWK                        TRADITIONAL  
USC00477015  43.4494  -90.7650  225.6 WI READSTOWN                                    PSEUDONORMALS
USC00477052  43.5231  -90.0003  282.2 WI REEDSBURG                                    TRADITIONAL  
USC00477092  46.1222  -89.8772  491.3 WI REST LAKE                                    TRADITIONAL  
USC00477113  45.5986  -89.4508  479.1 WI RHINELANDER                                  TRADITIONAL  
USC00477115  45.6528  -89.3075  483.4 WI RHINELANDER 4NE                              PSEUDONORMALS
USC00477118  45.6222  -89.4100  490.4 WI RHINELANDER WJFW TV-12                       PSEUDONORMALS
USC00477121  44.9672  -89.8961  393.2 WI RIB FALLS                                    TRADITIONAL  
USC00477132  45.4164  -91.7719  336.2 WI RICE LAKE                                    TRADITIONAL  
USC00477140  45.5397  -89.7478  445.0 WI RICE RESERVOIR-TOMAHAWK                      TRADITIONAL  
USC00477142  45.5300  -89.7300  445.0 WI RICE RSVR TOMAHAWK-2                         PSEUDONORMALS
USC00477158  43.3314  -90.3889  221.9 WI RICHLAND CTR                                 TRADITIONAL  
USC00477174  45.2142  -91.8875  292.6 WI RIDGELAND 1 NNE                              TRADITIONAL  
USC00477209  43.8864  -88.7444  283.5 WI RIPON 5 NE                                   TRADITIONAL  
USC00477226  44.8542  -92.6122  284.4 WI RIVER FALLS                                  TRADITIONAL  
USC00477230  44.9708  -92.5620  298.7 WI ROBERTS WWTP                                 PSEUDONORMALS
USC00477349  44.7511  -89.2450  360.6 WI ROSHOLT 9 NNE                                TRADITIONAL  
USC00477464  45.4117  -92.6464  234.7 WI ST CROIX FALLS                               TRADITIONAL  
USC00477480  45.9156  -89.4894  500.8 WI ST GERMAIN                                   TRADITIONAL  
USC00477576  43.2619  -89.7350  227.1 WI SAUK CITY WWTP                               PSEUDONORMALS
USC00477708  44.7631  -88.6183  245.7 WI SHAWANO 2SSW                                 TRADITIONAL  
USC00477725  43.7500  -87.7167  197.5 WI SHEBOYGAN                                    TRADITIONAL  
USC00477745  45.3103  -90.9583  333.1 WI SHELDON                                      TRADITIONAL  
USC00477761  44.4389  -88.5839  234.7 WI SHIOCTON                                     PSEUDONORMALS
USC00477869  43.3942  -90.7758  216.4 WI SOLDIERS GROVE                               PSEUDONORMALS
USC00477892  46.3575  -91.8317  344.4 WI SOLON SPRINGS                                TRADITIONAL  
USC00477964  42.9011  -87.8494  198.1 WI SOUTH MILWAUKEE WWTP                         PSEUDONORMALS
USC00477980  45.5178  -89.2028  487.7 WI SOUTH PELICAN                                TRADITIONAL  
USC00477997  43.9364  -90.8164  238.4 WI SPARTA                                       TRADITIONAL  
USC00478018  45.4567  -89.9692  453.8 WI SPIRIT FALLS                                 TRADITIONAL  
USC00478027  45.8236  -91.8761  335.3 WI SPOONER AG RES STN                 HCN       TRADITIONAL  
USC00478110  44.9686  -90.9389  332.2 WI STANLEY                            HCN       TRADITIONAL  
USC00478164  43.1342  -90.8372  309.4 WI STEUBEN 4 SE                                 TRADITIONAL  
USC00478171  44.5114  -89.5856  328.9 WI STEVENS POINT                                TRADITIONAL  
USC00478229  42.9108  -89.2133  256.0 WI STOUGHTON                                    TRADITIONAL  
USC00478241  44.8175  -90.0900  375.2 WI STRATFORD 1 NW                               TRADITIONAL  
USC00478267  44.8797  -87.3356  213.1 WI STURGEON BAY EXP FARM                        TRADITIONAL  
USC00478288  45.8647  -89.3819  489.2 WI SUGAR CAMP                                   TRADITIONAL  
USC00478316  42.9675  -88.5497  284.4 WI SULLIVAN 3SE                                 TRADITIONAL  
USC00478324  45.3783  -89.1942  527.9 WI SUMMIT LAKE                                  TRADITIONAL  
USC00478349  46.7000  -92.0167  192.0 WI SUPERIOR                                     TRADITIONAL  
USC00478376  44.9958  -88.3786  241.4 WI SURING                                       TRADITIONAL  
USC00478540  43.4719  -88.8825  267.9 WI TOWN OF WESTFORD                             PSEUDONORMALS
USC00478589  43.9994  -91.4378  201.2 WI TREMPEALEAU DAM 6                            TRADITIONAL  
USC00478672  44.1431  -87.5678  179.5 WI TWO RIVERS                                   TRADITIONAL  
USC00478723  42.6903  -88.0336  222.5 WI UNION GROVE                                  TRADITIONAL  
USC00478750  46.3678  -90.4122  456.3 WI UPSON                                        PSEUDONORMALS
USC00478827  43.5594  -90.8761  382.5 WI VIROQUA                            HCN       TRADITIONAL  
USC00478905  45.3581  -86.8911  209.1 WI WASHINGTON IS                                TRADITIONAL  
USC00478910  43.1878  -88.9844  245.1 WI WATERLOO                                     PSEUDONORMALS
USC00478919  43.1742  -88.7364  251.5 WI WATERTOWN                          HCN       TRADITIONAL  
USC00478937  43.0064  -88.2492  253.0 WI WAUKESHA                                     TRADITIONAL  
USC00478951  44.3547  -89.0592  255.1 WI WAUPACA                                      TRADITIONAL  
USC00478969  44.9464  -89.6222  364.8 WI WAUSAU WSAW TV                               PSEUDONORMALS
USC00478978  45.3803  -87.9567  227.1 WI WAUSAUKEE                                    TRADITIONAL  
USC00479012  45.7883  -92.2325  306.3 WI WEBSTER 9SE                                  PSEUDONORMALS
USC00479046  43.0175  -88.0017  220.4 WI WEST ALLIS                                   TRADITIONAL  
USC00479050  43.3681  -88.0858  286.5 WI WEST BEND                                    TRADITIONAL  
USC00479053  43.4319  -88.1606  273.1 WI WEST BEND FIRE STN                           PSEUDONORMALS
USC00479062  43.6750  -90.8078  390.8 WI WESTBY 3ENE                                  TRADITIONAL  
USC00479144  45.4425  -91.4181  364.2 WI WEYERHAEUSER 1N                              TRADITIONAL  
USC00479176  45.1889  -88.7355  385.3 WI WHITE LAKE 3 NE                              TRADITIONAL  
USC00479190  42.8508  -88.7247  266.7 WI WHITEWATER                                   TRADITIONAL  
USC00479236  45.7081  -89.8489  467.0 WI WILLOW RSVR                                  TRADITIONAL  
USC00479304  45.8833  -91.0700  413.0 WI WINTER                                       TRADITIONAL  
USC00479319  43.6089  -89.7667  254.5 WI WISCONSIN DELLS                              TRADITIONAL  
USC00479335  44.3881  -89.8056  314.9 WI WISCONSIN RAPIDS                             TRADITIONAL  
USC00479345  44.3994  -89.8306  310.9 WI WISC RAPIDS GRAND AV B                       TRADITIONAL  
USC00480027  42.7292 -110.9297 1903.5 WY AFTON                                        TRADITIONAL  
USC00480080  41.4000 -104.1017 1629.2 WY ALBIN                                        TRADITIONAL  
USC00480140  43.7728 -111.0339 1962.0 WY ALTA 1 NNW                         HCN       TRADITIONAL  
USC00480270  41.1517 -104.6575 1831.8 WY ARCHER                                       TRADITIONAL  
USC00480484  41.0389 -107.6575 1902.0 WY BAGGS                                        TRADITIONAL  
USC00480540  44.3800 -108.0350 1169.5 WY BASIN                              HCN       TRADITIONAL  
USC00480552  42.6339 -106.3775 1831.8 WY BATES CREEK #2                     HCN       TRADITIONAL  
USC00480603  42.8733 -110.9075 1958.3 WY BEDFORD 3 SE                                 PSEUDONORMALS
USC00480680  44.6828 -107.0089 1282.6 WY BIG HORN                                     PSEUDONORMALS
USC00480740  44.1242 -106.7319 1516.4 WY BILLY CREEK                                  TRADITIONAL  
USC00480761  41.5894 -108.5086 2048.3 WY BITTER CREEK 4 NE                            TRADITIONAL  
USC00480778  43.6561 -107.7375 1717.5 WY BLACK MTN                                    TRADITIONAL  
USC00480865  43.2278 -110.4358 1991.9 WY BONDURANT                                    TRADITIONAL  
USC00480951  42.7158 -109.6903 2115.3 WY BOULDER REARING STN                          TRADITIONAL  
USC00481000  43.4053 -108.1633 1479.5 WY BOYSEN DAM                                   TRADITIONAL  
USC00481131  41.2469 -109.5967 1853.2 WY BUCKBOARD MARINA                             PSEUDONORMALS
USC00481165  44.3547 -106.6992 1414.0 WY BUFFALO                                      TRADITIONAL  
USC00481167  44.3317 -106.7983 1671.8 WY BUFFALO 5WSW                                 PSEUDONORMALS
USC00481175  44.5075 -109.1675 1577.3 WY BUFFALO BILL DAM                             TRADITIONAL  
USC00481220  44.7742 -107.5217 2456.7 WY BURGESS JUNCTION                             PSEUDONORMALS
USC00481284  43.3656 -109.2756 1865.4 WY BURRIS                                       TRADITIONAL  
USC00481547  41.0844 -104.3789 1657.2 WY CARPENTER 3N                                 TRADITIONAL  
USC00481569  42.8614 -106.2925 1554.5 WY CASPER WWTP                                  PSEUDONORMALS
USC00481572  42.8519 -106.2847 1578.9 WY CASPER 1SW                                   PSEUDONORMALS
USC00481610  41.3136 -106.1292 2490.2 WY CENTENNIAL 1NE                               TRADITIONAL  
USC00481676  41.1522 -104.8056 1871.5 WY CHEYENNE WFO                                 PSEUDONORMALS
USC00481730  41.7594 -104.8222 1616.7 WY CHUGWATER                          HCN       TRADITIONAL  
USC00481736  41.3975 -110.0856 2156.5 WY CHURCH BUTTES GAS PLT                        TRADITIONAL  
USC00481775  44.9367 -109.1375 1246.6 WY CLARK 3NE                                    TRADITIONAL  
USC00481816  44.5781 -106.4472 1217.7 WY CLEARMONT 5 SW                               TRADITIONAL  
USC00481840  44.5147 -109.0450 1546.9 WY CODY                               HCN       TRADITIONAL  
USC00481850  44.4139 -108.9006 1599.6 WY CODY 12SE                                    TRADITIONAL  
USC00481855  44.3367 -109.3914 1780.0 WY CODY 21 SW                                   TRADITIONAL  
USC00481905  44.8711 -104.1533 1060.7 WY COLONY                             HCN       TRADITIONAL  
USC00482054  42.9589 -109.9958 2267.7 WY CORA                                         TRADITIONAL  
USC00482242  42.9281 -110.1272 2235.7 WY DANIEL FISH HATCHERY                         TRADITIONAL  
USC00482375  43.4136 -110.1631 2487.2 WY DARWIN RCH                                   TRADITIONAL  
