AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00013620  34.2314  -87.6353  280.4 AL HALEYVILLE                                   TRADITIONAL  
USC00013645  34.0967  -87.9914  132.6 AL HAMILTON 3 S                                 TRADITIONAL  
USC00013655  34.0675  -86.7917  180.4 AL HANCEVILLE                                   TRADITIONAL  
USC00013761  31.3625  -85.3397  112.8 AL HEADLAND                                     TRADITIONAL  
USC00013775  33.6483  -85.6006  259.1 AL HEFLIN                                       TRADITIONAL  
USC00013781  33.2725  -86.8336  146.3 AL HELENA                                       TRADITIONAL  
USC00013816  31.8814  -86.2503  132.0 AL HIGHLAND HOME                      HCN       TRADITIONAL  
USC00013930  33.2533  -87.4500   59.4 AL HOLT LOCK & DAM                              TRADITIONAL  
USC00014080  32.2464  -85.4142  122.5 AL HURTSBORO                                    TRADITIONAL  
USC00014193  31.5253  -87.9278   67.1 AL JACKSON                                      TRADITIONAL  
USC00014209  33.8164  -85.7661  209.7 AL JACKSONVILLE                                 TRADITIONAL  
USC00014226  33.9047  -87.3153  148.1 AL JASPER                                       TRADITIONAL  
USC00014274  32.3236  -86.7828   44.5 AL JONES BLUFF L&D                              TRADITIONAL  
USC00014306  32.6189  -86.2544   88.4 AL JORDAN DAM                                   TRADITIONAL  
USC00014431  31.2403  -86.1947   82.3 AL KINSTON                                      TRADITIONAL  
USC00014502  32.9069  -85.4336  225.6 AL LAFAYETTE 2W                                 TRADITIONAL  
USC00014603  32.9633  -86.5203  128.0 AL LAY DAM                                      TRADITIONAL  
USC00014619  33.5444  -86.5275  193.9 AL LEEDS                                        TRADITIONAL  
USC00014798  32.5811  -88.1897   39.0 AL LIVINGSTON                                   TRADITIONAL  
USC00014866  33.4258  -86.3386  137.2 AL LOGAN MARTIN DAM                             TRADITIONAL  
USC00015112  32.7028  -87.2681   52.4 AL MARION 7 NE                                  TRADITIONAL  
USC00015116  32.4444  -87.1797   61.6 AL MARION JUNCTION 2 E                          PSEUDONORMALS
USC00015121  32.4714  -87.2314   61.0 AL MARION JUNCTION 2 NE                         TRADITIONAL  
USC00015397  32.0597  -85.4953  151.8 AL MIDWAY                                       PSEUDONORMALS
USC00015420  32.1003  -87.3983   35.1 AL MILLERS FERRY L&D                            TRADITIONAL  
USC00015439  32.4419  -85.8889   65.5 AL MILSTEAD                                     TRADITIONAL  
USC00015465  32.8044  -86.4464  106.7 AL MITCHELL DAM                                 TRADITIONAL  
USC00015537  33.0981  -86.8658  125.0 AL MONTEVALLO                                   TRADITIONAL  
